"","year","violent","murder","robbery","prisoners","state"
"525",1995,687.8,8.5,187.3,427,"Michigan"
"526",1996,635.3,7.5,176.2,429,"Michigan"
"527",1997,590,7.8,152.8,440,"Michigan"
"528",1998,620.8,7.3,155.8,457,"Michigan"
"529",1999,574.9,7,143,466,"Michigan"
"530",1977,193.8,2.7,85.9,41,"Minnesota"
"531",1978,189.6,2,85.1,44,"Minnesota"
"532",1979,221,2.3,92.5,49,"Minnesota"
"533",1980,227.8,2.6,99.1,51,"Minnesota"
"534",1981,228.5,2.1,104.3,49,"Minnesota"
"535",1982,219.3,2.3,101.3,49,"Minnesota"
"536",1983,190.9,1.7,79.6,50,"Minnesota"
"537",1984,211.5,1.8,71.1,52,"Minnesota"
"538",1985,256.4,2.1,85.8,52,"Minnesota"
"539",1986,284.6,2.5,102,56,"Minnesota"
"540",1987,285.4,2.6,102.5,58,"Minnesota"
"541",1988,290.1,2.9,94.7,60,"Minnesota"
"542",1989,288.3,2.5,94.8,64,"Minnesota"
"543",1990,306.1,2.7,92.7,71,"Minnesota"
"544",1991,316,3,98,72,"Minnesota"
"545",1992,338,3.3,109.5,78,"Minnesota"
"546",1993,353.9,3.4,112.7,85,"Minnesota"
"547",1994,359,3.2,117.6,92,"Minnesota"
"548",1995,356.1,3.9,123.7,100,"Minnesota"
"549",1996,338.8,3.6,115.6,105,"Minnesota"
"550",1997,337.8,2.8,114.7,110,"Minnesota"
"551",1998,310.2,2.6,92.5,113,"Minnesota"
"552",1999,274,2.8,82,117,"Minnesota"
"553",1977,288.7,14.3,65.7,91,"Mississippi"
"554",1978,321.2,12.6,70.2,67,"Mississippi"
"555",1979,323.6,12.6,70.7,110,"Mississippi"
"556",1980,341.9,14.5,81,141,"Mississippi"
"557",1981,304.6,12.6,81.4,132,"Mississippi"
"558",1982,294.6,14,73,177,"Mississippi"
"559",1983,280.4,11.2,63.8,210,"Mississippi"
"560",1984,282,9.7,60.5,211,"Mississippi"
"561",1985,270.9,10.6,62.6,229,"Mississippi"
"562",1986,274.1,11.2,64.6,237,"Mississippi"
"563",1987,269.8,10.2,57,249,"Mississippi"
"564",1988,325.2,8.6,77.2,256,"Mississippi"
"565",1989,311.2,9.7,78.3,277,"Mississippi"
"566",1990,340.4,12.2,86.2,293,"Mississippi"
"567",1991,389.1,12.8,116.3,307,"Mississippi"
"568",1992,411.7,12.2,124.5,330,"Mississippi"
"569",1993,433.9,13.5,139.3,327,"Mississippi"
"570",1994,493.7,15.3,162.5,361,"Mississippi"
"571",1995,502.8,12.9,130.9,395,"Mississippi"
"572",1996,488.3,11.1,134.2,452,"Mississippi"
"573",1997,469,13.1,137,482,"Mississippi"
"574",1998,410.7,11.4,123.3,531,"Mississippi"
"575",1999,349.3,7.7,111.6,574,"Mississippi"
"576",1977,460.4,9.6,189,105,"Missouri"
"577",1978,467.9,10.4,184,111,"Missouri"
"578",1979,527.2,11.2,210.9,116,"Missouri"
"579",1980,554.5,11.1,223.6,113,"Missouri"
"580",1981,540.2,10.4,215.2,112,"Missouri"
"581",1982,506.5,9.7,193,131,"Missouri"
"582",1983,477.2,8.1,167.9,147,"Missouri"
"583",1984,460.7,7.1,140.8,162,"Missouri"
"584",1985,503.5,8.1,147.6,175,"Missouri"
"585",1986,578.6,9.2,170.2,194,"Missouri"
"586",1987,544.6,8.3,164.1,203,"Missouri"
"587",1988,552.5,8,168.1,218,"Missouri"
"588",1989,632.6,7.9,195,236,"Missouri"
"589",1990,715.3,8.8,216.4,269,"Missouri"
"590",1991,763,10.5,251.1,287,"Missouri"
"591",1992,740.4,10.5,226.9,305,"Missouri"
"592",1993,744.4,11.3,241.8,311,"Missouri"
"593",1994,743.5,10.5,230.7,308,"Missouri"
"594",1995,663.8,8.8,204,338,"Missouri"
"595",1996,590.9,8.1,170.6,358,"Missouri"
"596",1997,577.4,7.9,156.1,409,"Missouri"
"597",1998,555.7,7.3,149.2,442,"Missouri"
"598",1999,500.2,6.6,130.7,457,"Missouri"
"599",1977,218,5.4,39.2,73,"Montana"
"600",1978,237.6,4.8,36.8,81,"Montana"
"601",1979,224.2,4.2,33.1,87,"Montana"
"602",1980,222.6,4,34,96,"Montana"
"603",1981,253,3.4,38.1,94,"Montana"
"604",1982,224.8,3.9,33.1,104,"Montana"
"605",1983,212.6,3.7,23.5,114,"Montana"
"606",1984,237.6,4.4,27.4,104,"Montana"
"607",1985,208.5,5.8,20.9,121,"Montana"
"608",1986,157.4,2.9,19.5,136,"Montana"
"609",1987,151.2,4.1,24.2,135,"Montana"
"610",1988,123,2.6,22.6,147,"Montana"
"611",1989,116,2.9,17,158,"Montana"
"612",1990,159.3,4.9,21.7,165,"Montana"
"613",1991,139.9,2.6,18.6,176,"Montana"
"614",1992,169.9,2.9,26.9,183,"Montana"
"615",1993,177.5,3,32.4,180,"Montana"
"616",1994,177.1,3.3,32.7,182,"Montana"
"617",1995,171.4,4,29.1,204,"Montana"
"618",1996,161,3.9,29.7,228,"Montana"
"619",1997,132.1,4.8,20.4,259,"Montana"
"620",1998,138.8,4.1,19.9,255,"Montana"
"621",1999,206.5,2.6,25.8,310,"Montana"
"622",1977,199.4,3.9,64.7,93,"Nebraska"
"623",1978,190.5,3,64.9,83,"Nebraska"
"624",1979,225.9,4.1,73.5,80,"Nebraska"
"625",1980,224.6,4.4,82.2,71,"Nebraska"
"626",1981,181.5,3.1,70.7,89,"Nebraska"
"627",1982,229.6,2,61.9,104,"Nebraska"
"628",1983,217.7,2.6,49.8,99,"Nebraska"
"629",1984,225.8,3.4,43.2,91,"Nebraska"
"630",1985,237.9,2.9,48.5,95,"Nebraska"
"631",1986,262.6,3.1,51.1,108,"Nebraska"
"632",1987,251.2,3.5,47.1,116,"Nebraska"
"633",1988,273.2,3.6,56.1,123,"Nebraska"
"634",1989,279.5,2.5,52,129,"Nebraska"
"635",1990,330,2.7,51.1,141,"Nebraska"
"636",1991,334.6,3.3,54,140,"Nebraska"
"637",1992,348.6,4.2,56.7,145,"Nebraska"
"638",1993,377.8,3.9,62.4,151,"Nebraska"
"639",1994,389.5,3.1,75.4,153,"Nebraska"
"640",1995,382,2.9,65.2,164,"Nebraska"
"641",1996,435,2.9,63.7,183,"Nebraska"
"642",1997,438.4,3,66.2,194,"Nebraska"
"643",1998,451.4,3.1,77.6,200,"Nebraska"
"644",1999,430.2,3.6,75.9,215,"Nebraska"
"645",1977,743,15.8,323.1,156,"Nevada"
"646",1978,780.8,15.5,359.5,187,"Nevada"
"647",1979,835.6,17.5,407.5,204,"Nevada"
"648",1980,912.6,20,460.6,224,"Nevada"
"649",1981,896.4,17.5,458,230,"Nevada"
"650",1982,805.4,13.6,419.6,245,"Nevada"
"651",1983,655.2,12.8,307.2,301,"Nevada"
"652",1984,628.5,10.8,279,354,"Nevada"
"653",1985,667.1,10.3,274.9,380,"Nevada"
"654",1986,718.9,12.6,286.9,397,"Nevada"
"655",1987,695.7,8.4,272.5,447,"Nevada"
"656",1988,780.7,10.5,291.2,432,"Nevada"
"657",1989,625.3,8.2,250.6,452,"Nevada"
"658",1990,600.9,9.7,238.3,438,"Nevada"
"659",1991,677,11.8,312.5,444,"Nevada"
"660",1992,696.8,10.9,331.3,439,"Nevada"
"661",1993,875.2,10.4,340.1,448,"Nevada"
"662",1994,1001.9,11.7,352.4,434,"Nevada"
"663",1995,945.2,10.7,324.6,468,"Nevada"
"664",1996,811.3,13.7,307.6,493,"Nevada"
"665",1997,798.7,11.2,302.4,515,"Nevada"
"666",1998,643.6,9.7,254.9,518,"Nevada"
"667",1999,570,9.1,232.7,542,"Nevada"
"668",1977,113.1,3.2,23.2,30,"New Hampshire"
"669",1978,118.8,1.4,26.3,26,"New Hampshire"
"670",1979,139.9,2.4,28.6,32,"New Hampshire"
"671",1980,179.8,2.5,42,35,"New Hampshire"
"672",1981,147.1,2.9,35.8,35,"New Hampshire"
"673",1982,124.8,2.2,33.9,42,"New Hampshire"
"674",1983,125.1,2,24.1,47,"New Hampshire"
"675",1984,133.9,1,23.2,50,"New Hampshire"
"676",1985,140.8,2.1,26.7,57,"New Hampshire"
"677",1986,139.5,2.2,23.6,68,"New Hampshire"
"678",1987,149.6,3,26.5,76,"New Hampshire"
"679",1988,147.9,2.3,21.1,81,"New Hampshire"
"680",1989,168.5,3.3,23.8,93,"New Hampshire"
"681",1990,131.5,1.9,27.2,103,"New Hampshire"
"682",1991,119.3,3.6,33,117,"New Hampshire"
"683",1992,125.7,1.6,33,132,"New Hampshire"
"684",1993,137.8,2,27.3,160,"New Hampshire"
"685",1994,116.8,1.4,27.1,157,"New Hampshire"
"686",1995,114.5,1.8,27.4,177,"New Hampshire"
"687",1996,118.2,1.7,27.3,174,"New Hampshire"
"688",1997,113.2,1.4,23.4,176,"New Hampshire"
"689",1998,107.2,1.5,21.5,184,"New Hampshire"
"690",1999,96.5,1.5,21.4,182,"New Hampshire"
"691",1977,392,5.6,180.4,78,"New Jersey"
"692",1978,423.5,5.4,192.6,78,"New Jersey"
"693",1979,501.2,6.6,250,74,"New Jersey"
"694",1980,604.4,6.9,303.7,76,"New Jersey"
"695",1981,630.6,7.3,334.6,76,"New Jersey"
"696",1982,607.4,6.5,307.6,92,"New Jersey"
"697",1983,553.1,5.3,269,107,"New Jersey"
"698",1984,527.7,5.3,242.4,136,"New Jersey"
"699",1985,544.5,5.4,255,138,"New Jersey"
"700",1986,572.5,5.2,268.7,149,"New Jersey"
"701",1987,541,4.6,232.8,157,"New Jersey"
"702",1988,582.8,5.3,245.2,177,"New Jersey"
"703",1989,609,5.1,273.3,219,"New Jersey"
"704",1990,647.6,5.6,301,251,"New Jersey"
"705",1991,634.8,5.2,293.1,271,"New Jersey"
"706",1992,625.8,5.1,285.2,301,"New Jersey"
"707",1993,626.9,5.3,296,290,"New Jersey"
"708",1994,614.2,5,288,301,"New Jersey"
"709",1995,599.8,5.1,283,311,"New Jersey"
"710",1996,531.5,4.2,235.8,340,"New Jersey"
"711",1997,492.6,4.2,210.6,343,"New Jersey"
"712",1998,440.1,4,186.2,351,"New Jersey"
"713",1999,411.9,3.5,174.9,382,"New Jersey"
"714",1977,500.9,8.8,109.6,105,"New Mexico"
"715",1978,528.2,10.2,111.6,126,"New Mexico"
"716",1979,586,12.4,121,123,"New Mexico"
"717",1980,615,13.1,127.9,112,"New Mexico"
"718",1981,671.7,11.4,140.8,106,"New Mexico"
"719",1982,734.5,11.6,126.2,100,"New Mexico"
"720",1983,686.8,8.9,114,126,"New Mexico"
"721",1984,688.1,9.1,130.3,142,"New Mexico"
"722",1985,703.9,10.9,138.1,133,"New Mexico"
"723",1986,725.6,11.5,129.5,144,"New Mexico"
"724",1987,628.5,10.1,108.3,154,"New Mexico"
"725",1988,658.1,11.5,103.1,174,"New Mexico"
"726",1989,703.9,8.6,105.2,180,"New Mexico"
"727",1990,780.2,9.2,115.1,178,"New Mexico"
"728",1991,834.8,10.5,120.3,196,"New Mexico"
"729",1992,934.9,8.9,139.3,191,"New Mexico"
"730",1993,929.7,8,138.4,197,"New Mexico"
"731",1994,889.2,10.7,140.8,206,"New Mexico"
"732",1995,819.2,8.8,154.5,211,"New Mexico"
"733",1996,840.6,11.5,162.4,231,"New Mexico"
"734",1997,853.3,7.7,171.4,261,"New Mexico"
"735",1998,961.4,10.9,163.4,256,"New Mexico"
"736",1999,834.5,9.8,148.2,271,"New Mexico"
"737",1977,831.8,10.7,472.6,98,"New York"
"738",1978,841,10.3,472.1,108,"New York"
"739",1979,917.4,11.9,529.6,114,"New York"
"740",1980,1029.5,12.7,641.3,120,"New York"
"741",1981,1069.6,12.3,684,123,"New York"
"742",1982,990.1,11.4,610.7,145,"New York"
"743",1983,914.1,11.1,536.5,158,"New York"
"744",1984,914.3,10.1,506.9,172,"New York"
"745",1985,929.9,9.5,504.4,187,"New York"
"746",1986,985.9,10.7,514.1,195,"New York"
"747",1987,1008.1,11.3,503.3,216,"New York"
"748",1988,1097.3,12.5,544.4,229,"New York"
"749",1989,1131.2,12.5,579.3,248,"New York"
"750",1990,1180.9,14.5,624.7,285,"New York"
"751",1991,1163.9,14.2,622.1,304,"New York"
"752",1992,1122.1,13.2,596.9,320,"New York"
"753",1993,1073.5,13.3,561.2,340,"New York"
"754",1994,965.6,11.1,476.7,354,"New York"
"755",1995,841.9,8.5,399.7,367,"New York"
"756",1996,727,7.4,340,378,"New York"
"757",1997,688.6,6,309.3,383,"New York"
"758",1998,637.8,5.1,270.3,386,"New York"
"759",1999,588.8,5,240.8,397,"New York"
"760",1977,407.1,10.6,61.3,214,"North Carolina"
"761",1978,413.4,10.8,65.9,234,"North Carolina"
"762",1979,446.1,10.7,77.2,223,"North Carolina"
"763",1980,455,10.6,82.3,240,"North Carolina"
"764",1981,436.7,9.1,80.8,244,"North Carolina"
"765",1982,446.3,9.1,85.9,248,"North Carolina"
"766",1983,409.6,8.1,79.6,255,"North Carolina"
"767",1984,403.6,8.7,74.8,233,"North Carolina"
"768",1985,420.9,8.3,78.2,246,"North Carolina"
"769",1986,475.9,8.1,87.7,254,"North Carolina"
"770",1987,484,8.1,93.9,257,"North Carolina"
"771",1988,501.9,7.8,108.6,250,"North Carolina"
"772",1989,546.4,8.9,133.5,249,"North Carolina"
"773",1990,623.5,10.7,152.1,250,"North Carolina"
"774",1991,658.4,11.4,178,265,"North Carolina"
"775",1992,681,10.6,186.8,269,"North Carolina"
"776",1993,679.3,11.3,192.4,290,"North Carolina"
"777",1994,655,10.9,181.2,305,"North Carolina"
"778",1995,646.4,9.4,179.2,323,"North Carolina"
"779",1996,588.1,8.5,163.9,384,"North Carolina"
"780",1997,607,8.3,172.6,376,"North Carolina"
"781",1998,579.4,8.1,160.8,370,"North Carolina"
"782",1999,542.1,7.2,158,358,"North Carolina"
"783",1977,67.1,0.9,13.3,26,"North Dakota"
"784",1978,67,1.2,15.6,30,"North Dakota"
"785",1979,61.3,1.5,9.9,21,"North Dakota"
"786",1980,54,1.2,7.7,19,"North Dakota"
"787",1981,67.5,2.3,12.9,28,"North Dakota"
"788",1982,61.8,0.7,12.7,33,"North Dakota"
"789",1983,53.7,2.1,7.8,47,"North Dakota"
"790",1984,53.6,1.2,7.7,51,"North Dakota"
"791",1985,47,1,6.4,54,"North Dakota"
"792",1986,51.3,1,6.9,55,"North Dakota"
"793",1987,56.8,1.5,7.6,53,"North Dakota"
"794",1988,59.1,1.8,8.1,57,"North Dakota"
"795",1989,63.2,0.6,9.2,62,"North Dakota"
"796",1990,73.9,0.8,7.8,62,"North Dakota"
"797",1991,65.4,1.1,8,67,"North Dakota"
"798",1992,83.3,1.9,7.9,68,"North Dakota"
"799",1993,82.2,1.7,8.3,67,"North Dakota"
"800",1994,81.8,0.2,11.1,70,"North Dakota"
"801",1995,86.7,0.9,10,78,"North Dakota"
"802",1996,84,2.2,11,85,"North Dakota"
"803",1997,87.2,0.9,6.4,101,"North Dakota"
"804",1998,89.3,1.1,10.2,112,"North Dakota"
"805",1999,66.9,1.6,8.8,128,"North Dakota"
"806",1977,406.7,7.8,190.5,117,"Ohio"
"807",1978,412.7,6.9,182.6,120,"Ohio"
"808",1979,457.5,8.1,194.8,122,"Ohio"
"809",1980,498.3,8.1,223.7,125,"Ohio"
"810",1981,496.6,7.4,236.9,125,"Ohio"
"811",1982,436.7,6.3,183.6,139,"Ohio"
"812",1983,397.9,5.6,159.4,160,"Ohio"
"813",1984,385.3,5.1,145.6,155,"Ohio"
"814",1985,381.6,5.2,133.1,174,"Ohio"
"815",1986,420.9,5.5,142.1,194,"Ohio"
"816",1987,421.3,5.8,153.1,209,"Ohio"
"817",1988,452,5.4,161.4,219,"Ohio"
"818",1989,468.6,6,170.9,243,"Ohio"
"819",1990,506.2,6.1,188.5,279,"Ohio"
"820",1991,561.8,7.2,215.2,289,"Ohio"
"821",1992,525.9,6.6,199,324,"Ohio"
"822",1993,504.1,6,192.7,347,"Ohio"
"823",1994,485.8,6,187.5,365,"Ohio"
"824",1995,482.5,5.4,178.7,387,"Ohio"
"825",1996,428.7,4.8,164.1,400,"Ohio"
"826",1997,435.4,4.7,158.7,413,"Ohio"
"827",1998,362.5,4,133.5,429,"Ohio"
"828",1999,316.4,3.5,128,432,"Ohio"
"829",1977,316.6,8.6,73.8,133,"Oklahoma"
"830",1978,353,8.5,88.3,129,"Oklahoma"
"831",1979,405.2,9.7,102.6,146,"Oklahoma"
"832",1980,419.5,10,104.9,147,"Oklahoma"
"833",1981,426.8,9,115.4,151,"Oklahoma"
"834",1982,443.9,10.8,132.8,169,"Oklahoma"
"835",1983,423.4,7.6,128.7,201,"Oklahoma"
"836",1984,407.5,7.8,111.2,212,"Oklahoma"
"837",1985,422,7.7,106.8,236,"Oklahoma"
"838",1986,436.4,8.1,106.5,250,"Oklahoma"
"839",1987,417.6,7.5,109.5,288,"Oklahoma"
"840",1988,434.5,7.4,105.1,296,"Oklahoma"
"841",1989,491.5,6.5,126.2,323,"Oklahoma"
"842",1990,547.5,8,121.9,361,"Oklahoma"
"843",1991,583.7,7.2,128.9,381,"Oklahoma"
"844",1992,622.8,6.5,136.2,416,"Oklahoma"
"845",1993,634.8,8.4,121.8,459,"Oklahoma"
"846",1994,651.5,6.9,128.1,506,"Oklahoma"
"847",1995,664.1,12.2,115.6,508,"Oklahoma"
"848",1996,597.1,6.8,106.8,552,"Oklahoma"
"849",1997,559.5,6.9,103.9,591,"Oklahoma"
"850",1998,539.4,6.1,92,617,"Oklahoma"
"851",1999,508.2,6.9,82.9,622,"Oklahoma"
"852",1977,455.8,4.9,124.1,122,"Oregon"
"853",1978,502.4,5,131.1,122,"Oregon"
"854",1979,545.4,4.2,130.6,117,"Oregon"
"855",1980,490.4,5.1,152.4,122,"Oregon"
"856",1981,478.7,4.4,180.6,120,"Oregon"
"857",1982,473,5.1,167.3,124,"Oregon"
"858",1983,487.8,4.1,170.3,146,"Oregon"
"859",1984,506.1,4.8,168.6,157,"Oregon"
"860",1985,551.1,4.7,185.6,170,"Oregon"
"861",1986,549.7,6.6,205.9,165,"Oregon"
"862",1987,539.5,5.6,196,176,"Oregon"
"863",1988,545.7,5.1,193,200,"Oregon"
"864",1989,518.6,4.8,151.8,215,"Oregon"
"865",1990,506.8,3.8,144.3,235,"Oregon"
"866",1991,506.3,4.6,150.1,223,"Oregon"
"867",1992,510.2,4.7,151.4,228,"Oregon"
"868",1993,503.1,4.6,129.6,174,"Oregon"
"869",1994,520.6,4.9,138.2,166,"Oregon"
"870",1995,522.4,4.1,137.9,191,"Oregon"
"871",1996,463.1,4,122.2,206,"Oregon"
"872",1997,444.4,2.9,117.5,226,"Oregon"
"873",1998,419.8,3.8,105.2,232,"Oregon"
"874",1999,374.9,2.7,86.2,260,"Oregon"
"875",1977,282.8,5.6,130.3,56,"Pennsylvania"
"876",1978,301.1,6.2,136.7,56,"Pennsylvania"
"877",1979,333.6,6.2,152.2,65,"Pennsylvania"
"878",1980,363.9,6.8,177.9,67,"Pennsylvania"
"879",1981,371.7,6.1,186.6,68,"Pennsylvania"
"880",1982,360.4,5.7,175.4,78,"Pennsylvania"
"881",1983,342.8,4.9,172.3,88,"Pennsylvania"
"882",1984,320.6,4.5,148.4,98,"Pennsylvania"
"883",1985,331.1,4.6,147,109,"Pennsylvania"
"884",1986,358.6,5.5,152.1,119,"Pennsylvania"
"885",1987,369.4,5.4,144.4,128,"Pennsylvania"
"886",1988,362,5.5,138.1,136,"Pennsylvania"
"887",1989,378.6,6.3,149.7,149,"Pennsylvania"
"888",1990,431,6.7,176.2,169,"Pennsylvania"
"889",1991,450,6.3,193.9,183,"Pennsylvania"
"890",1992,427,6.2,180.7,192,"Pennsylvania"
"891",1993,417.5,6.8,179,207,"Pennsylvania"
"892",1994,426.7,5.9,186.7,216,"Pennsylvania"
"893",1995,427.3,6.3,189.3,235,"Pennsylvania"
"894",1996,480.3,5.7,189,268,"Pennsylvania"
"895",1997,442.1,5.9,156.3,286,"Pennsylvania"
"896",1998,420.5,5.3,164.9,291,"Pennsylvania"
"897",1999,420.5,4.9,155.7,303,"Pennsylvania"
"898",1977,301.6,3.6,86.5,53,"Rhode Island"
"899",1978,348.1,4,98.2,56,"Rhode Island"
"900",1979,375.1,3.2,109.7,56,"Rhode Island"
"901",1980,408.5,4.4,118.6,63,"Rhode Island"
"902",1981,441.7,4.2,132,65,"Rhode Island"
"903",1982,401.8,3.7,114.7,72,"Rhode Island"
"904",1983,355.2,2.7,112.9,82,"Rhode Island"
"905",1984,334.7,3.4,113.4,92,"Rhode Island"
"906",1985,346.6,3.6,115.9,92,"Rhode Island"
"907",1986,335.5,3.5,118.7,99,"Rhode Island"
"908",1987,359.7,3.5,107.7,103,"Rhode Island"
"909",1988,396.7,4.1,115.2,100,"Rhode Island"
"910",1989,378,4.9,112.4,118,"Rhode Island"
"911",1990,431.9,4.8,122,146,"Rhode Island"
"912",1991,462,3.7,122.9,157,"Rhode Island"
"913",1992,394.5,3.6,94.5,173,"Rhode Island"
"914",1993,401.7,3.9,101.1,170,"Rhode Island"
"915",1994,375.5,4.1,87.3,172,"Rhode Island"
"916",1995,368,3.3,92.3,186,"Rhode Island"
"917",1996,347.2,2.5,83.2,186,"Rhode Island"
"918",1997,333.5,2.5,71.6,205,"Rhode Island"
"919",1998,312.1,2.4,66.7,213,"Rhode Island"
"920",1999,286.6,3.6,79.5,220,"Rhode Island"
"921",1977,636.2,11.9,105.9,230,"South Carolina"
"922",1978,637.6,11.5,101.3,239,"South Carolina"
"923",1979,678.3,12.6,107.6,243,"South Carolina"
"924",1980,660,11.4,118.1,237,"South Carolina"
"925",1981,640.4,10.4,120.2,238,"South Carolina"
"926",1982,720,10.9,122.4,251,"South Carolina"
"927",1983,616.8,9.8,104.9,270,"South Carolina"
"928",1984,624.5,9.2,103.3,276,"South Carolina"
"929",1985,631,9.1,93.9,284,"South Carolina"
"930",1986,674.6,8.6,99.5,294,"South Carolina"
"931",1987,664.9,9.3,101.1,324,"South Carolina"
"932",1988,741.2,9.3,124.7,344,"South Carolina"
"933",1989,813.7,9.1,130.2,369,"South Carolina"
"934",1990,976.6,11.2,152.4,416,"South Carolina"
"935",1991,972.5,11.3,171.1,451,"South Carolina"
"936",1992,944.5,10.4,170.6,473,"South Carolina"
"937",1993,1023.4,10.3,187.3,486,"South Carolina"
"938",1994,1030.5,9.6,186.1,488,"South Carolina"
"939",1995,981.9,7.9,175.9,494,"South Carolina"
"940",1996,996.9,9,172,515,"South Carolina"
"941",1997,990.3,8.4,176.2,532,"South Carolina"
"942",1998,903.2,8,154.9,536,"South Carolina"
"943",1999,847.1,6.6,148.2,550,"South Carolina"
"944",1977,189.1,2,17.9,70,"South Dakota"
"945",1978,163.5,1.9,15.9,76,"South Dakota"
"946",1979,159.1,2,20.3,74,"South Dakota"
"947",1980,126.8,0.7,20.1,77,"South Dakota"
"948",1981,104.8,1.8,17.8,88,"South Dakota"
"949",1982,99,2.7,17.1,97,"South Dakota"
"950",1983,120,2.1,15.9,109,"South Dakota"
"951",1984,147.5,1.8,14.9,115,"South Dakota"
"952",1985,136.6,1.8,17.1,127,"South Dakota"
"953",1986,124.7,4,16.2,146,"South Dakota"
"954",1987,119.7,1.8,12.3,160,"South Dakota"
"955",1988,113.7,3.1,12.2,160,"South Dakota"
"956",1989,135.5,1.3,11.7,143,"South Dakota"
"957",1990,162.8,2,12.4,175,"South Dakota"
"958",1991,182.2,1.7,18.8,187,"South Dakota"
"959",1992,194.5,0.6,16.9,191,"South Dakota"
"960",1993,208.4,3.4,15,208,"South Dakota"
"961",1994,227.6,1.4,18.7,216,"South Dakota"
"962",1995,207.5,1.8,25.9,236,"South Dakota"
"963",1996,177.2,1.2,18.9,252,"South Dakota"
"964",1997,197.4,1.4,23.3,284,"South Dakota"
"965",1998,154.3,1.4,20.2,303,"South Dakota"
"966",1999,167.4,2.5,14.1,329,"South Dakota"
"967",1977,389.5,10.1,145.8,114,"Tennessee"
"968",1978,382.6,9.4,152.4,127,"Tennessee"
"969",1979,414,9.8,166.1,134,"Tennessee"
"970",1980,458.1,10.8,180.6,151,"Tennessee"
"971",1981,412.6,9.7,171.7,153,"Tennessee"
"972",1982,421.1,9.7,175.7,171,"Tennessee"
"973",1983,402,8.8,172.8,173,"Tennessee"
"974",1984,445.4,8.4,166.8,187,"Tennessee"
"975",1985,474.4,9,180.9,154,"Tennessee"
"976",1986,539.6,10.4,207.7,149,"Tennessee"
"977",1987,533.5,9.1,193.8,157,"Tennessee"
"978",1988,532.7,9.4,173.6,156,"Tennessee"
"979",1989,548.9,8.4,160.4,157,"Tennessee"
"980",1990,670.4,10.5,191.2,213,"Tennessee"
"981",1991,725.9,11,212.9,207,"Tennessee"
"982",1992,746.2,10.4,218.2,227,"Tennessee"
"983",1993,765.8,10.2,220.1,234,"Tennessee"
"984",1994,747.9,9.3,207.4,250,"Tennessee"
"985",1995,771.5,10.6,223.2,276,"Tennessee"
"986",1996,774,9.5,223.7,287,"Tennessee"
"987",1997,789.7,9.5,214,292,"Tennessee"
"988",1998,715,8.5,178,309,"Tennessee"
"989",1999,694.9,7.1,156.8,325,"Tennessee"
"990",1977,407.7,13.3,152.4,167,"Texas"
"991",1978,435.3,14.2,164.4,176,"Texas"
"992",1979,507.9,16.7,191.8,189,"Texas"
"993",1980,550.3,16.9,208.5,196,"Texas"
"994",1981,532.4,16.6,193.3,210,"Texas"
"995",1982,577.1,16.1,220,210,"Texas"
"996",1983,512.2,14.2,189.3,237,"Texas"
"997",1984,505,13.1,178.5,221,"Texas"
"998",1985,550,13,193.5,226,"Texas"
"999",1986,658.9,13.5,239.9,226,"Texas"
"1000",1987,631.1,11.7,226.7,228,"Texas"
"1001",1988,652.6,12.1,234.2,231,"Texas"
"1002",1989,658.5,11.9,223.1,240,"Texas"
"1003",1990,761.4,14.1,260.8,257,"Texas"
"1004",1991,840.1,15.3,286.5,290,"Texas"
"1005",1992,806.3,12.7,252.5,297,"Texas"
"1006",1993,762.1,11.9,224.4,344,"Texas"
"1007",1994,706.5,11,204.8,385,"Texas"
"1008",1995,663.9,9,179.8,637,"Texas"
"1009",1996,644.4,7.7,171.5,677,"Texas"
"1010",1997,602.5,6.8,157,686,"Texas"
"1011",1998,564.6,6.8,145.1,717,"Texas"
"1012",1999,560.3,6.1,146.7,724,"Texas"
"1013",1977,240,3.5,68.8,60,"Utah"
"1014",1978,271.8,3.7,66.5,64,"Utah"
"1015",1979,304.2,4.8,77.7,69,"Utah"
"1016",1980,303.3,3.8,80.2,68,"Utah"
"1017",1981,298.6,3.3,84.8,64,"Utah"
"1018",1982,285.7,3.4,86.5,73,"Utah"
"1019",1983,256,3.5,64.3,77,"Utah"
"1020",1984,244.2,2.8,58,77,"Utah"
"1021",1985,267.4,3,55.2,84,"Utah"
"1022",1986,266.7,3.2,58.6,98,"Utah"
"1023",1987,229.8,3.3,52.8,108,"Utah"
"1024",1988,243.1,2.8,54.1,110,"Utah"
"1025",1989,258.8,2.6,52.6,115,"Utah"
"1026",1990,283.9,3,56.9,137,"Utah"
"1027",1991,286.8,2.9,55.1,142,"Utah"
"1028",1992,290.5,3,55.9,149,"Utah"
"1029",1993,301,3.1,58.6,146,"Utah"
"1030",1994,304.5,2.9,63.6,152,"Utah"
"1031",1995,328.8,3.9,67.1,157,"Utah"
"1032",1996,331.9,3.2,68.9,174,"Utah"
"1033",1997,334,2.4,68.4,195,"Utah"
"1034",1998,314.2,3.1,66,205,"Utah"
"1035",1999,275.5,2.1,54.4,205,"Utah"
"1036",1977,149.5,1.4,30.8,64,"Vermont"
"1037",1978,166.3,3.3,14.4,57,"Vermont"
"1038",1979,184.2,1.4,28.6,76,"Vermont"
"1039",1980,178.8,2.2,38.9,62,"Vermont"
"1040",1981,128,4.3,27.6,67,"Vermont"
