",""Id"",""Sex"",""Pclass"",""Fare"""
"874,874,""male"",3,9"
"875,875,""female"",2,24"
"876,876,""female"",3,7.225"
"877,877,""male"",3,9.8458"
"878,878,""male"",3,7.8958"
"879,879,""male"",3,7.8958"
"880,880,""female"",1,83.1583"
"881,881,""female"",2,26"
"882,882,""male"",3,7.8958"
"883,883,""female"",3,10.5167"
"884,884,""male"",2,10.5"
"885,885,""male"",3,7.05"
"886,886,""female"",3,29.125"
"887,887,""male"",2,13"
"888,888,""female"",1,30"
"889,889,""female"",3,23.45"
"890,890,""male"",1,30"
"891,891,""male"",3,7.75"
